Recording SID,Duration,Date,Call SID
RE6a60ed9e75ba8ae625c720ad04fbda9c,48,2022-11-01 06:09:44+00:00,CA664995340e25a1e53c03114961c17817
RE336fd7d6d5327d14ce6080ee45b3d0c2,47,2022-11-01 05:48:57+00:00,CA7df636c06324a386955da028caf91c4f
REce49b1175f5bd2cce7dabe93142b1c69,46,2022-11-01 05:42:41+00:00,CA68eb2b76577799e9615b3584e240f93a
RE421c6cc1b502aa7b2a5f5b1363b30a30,49,2022-11-01 05:40:06+00:00,CAe9828c36d90985810ba5db7cd669ea90
RE35d33fa11404fa31cc642238b5078145,35,2022-11-01 05:34:35+00:00,CAe654369863d45e50a8c301b68ac5b281
REd7cff7d258a198eb1c4d5bdf99c49c61,49,2022-11-01 05:33:05+00:00,CA5e7057d45306278a8ff0adc6b528c0df
RE09b0134a02570702937986069bab9549,46,2022-11-01 05:31:46+00:00,CAb1a21407f2690fb054ecece1cfe8758d
RE84ef0984a8a6c964ad0a8014a43a9dee,2702,2022-11-01 05:17:41+00:00,CA8ff33f213ad88008404b85b2e8ca7bd7
RE8e6ae08096d788fc42508c97fafdfb16,46,2022-11-01 04:08:28+00:00,CA4a680a3348f6972ac15d8fdacfda877e
RE83cbb2b4743b14a2a24073a3a9f52206,49,2022-11-01 03:52:01+00:00,CA7afb34d76ceac74504d3c1d1b77eb9b1
REb3691b6d974ae72fcb7beadbf4107bc2,41,2022-11-01 03:46:33+00:00,CA502b7286315c1b186f79a0c0dc4b3591
RE73f0d4557d438e7298b336512b1a5c64,46,2022-11-01 03:34:29+00:00,CA6a0e0ee3d140034ae7eaeb4983334655
REb343d34c2b6bf0a720621a617b0b19ee,49,2022-11-01 03:32:44+00:00,CAbda30b7fc8dcff3675329bb323e3d9b3
REc333e7eb0cfa289a2fb8cbd386382755,207,2022-11-01 03:34:12+00:00,CA19398ba0d47e135bf61392141b309e75
RE99d0af77a13be08c117637234df6fd84,3,2022-11-01 03:27:37+00:00,CAdae6d19386220aee5b8456d591c3d773
RE3c6010de5de1214bea6216ce4a3ac00f,46,2022-11-01 03:27:58+00:00,CA259840c18111ac5df1980ac385d6a977
REd3830a8f08df4b11c2d73da11025bca0,284,2022-11-01 03:24:08+00:00,CA4965a86e0b96b12b429c5aa26ffc5a85
RE55539efd11880f97c111a0aaa7bf44e8,47,2022-11-01 03:19:07+00:00,CAab217b086a543ec65a372f212ad4e44c
RE1b757686356d3abc0a8d82381b525dfb,48,2022-11-01 03:02:10+00:00,CAbc822e4cc5340cd7f7c972a07839fb6d
RE17aa604d8f492733e73a909256b17030,48,2022-11-01 03:02:05+00:00,CA1ee548049ab8fe08a4bef42f98b566c3
REcad8bc7cd8ada075ddde28a8f5d2dd60,48,2022-11-01 02:58:20+00:00,CAa1efa909b1e0c11f71b4ebdd01d2bfe6
RE078715b1282aebe7e31a4c6b75a6b9a6,49,2022-11-01 02:51:34+00:00,CA832d43418ab4fbac25511e5021a0563a
RE168a250ccd0d52240d343e1845e4a827,48,2022-11-01 02:39:13+00:00,CA354614a757a06819b583b10eabdb54cc
RE9b3bb7075482f93d48d29e2fa8026894,49,2022-11-01 02:31:17+00:00,CA641efcd79f24e0ace21b3a10e7d32426
RE3e79634212420b7042c261fc0799fd7d,46,2022-11-01 02:05:25+00:00,CA233c51a75ca8c53ff513e49dbebbfcee
RE02e0a8bcb71d0b01d5d632c58500a594,44,2022-11-01 02:04:27+00:00,CA111c9448fcd3bd6708e46654d87e80b3
RE22a51765087e2abb45b47780ca0fc2ba,7,2022-11-01 01:58:32+00:00,CAdebafe522418cc685d1340941b166411
REe093f1ed4e5b60706e67a66d6e0a0fc4,45,2022-11-01 01:57:39+00:00,CA3aed6b896328fab9eb6a31e8521d99f3
RE16001e4ca3d95de1d79b32aae83bd884,48,2022-11-01 01:50:23+00:00,CAc15a09f6fed2b56d9b66d1fb3c3b9ad4
RE17de481df618dd22a51803ead2da3cb0,320,2022-11-01 01:53:10+00:00,CA1b8e4a575e1837c166209a46160d2680
RE412cb845e060ea5b67bca43599673128,27,2022-11-01 01:47:23+00:00,CAb224d7bdd9d89b2f85813089a410d5a7
RE4696d542371096bdbb374d05a91ca14e,48,2022-11-01 01:46:18+00:00,CA317d1a5d6f502aec3724610baa571a4c
